SP500;HSI;CAC40;DAX;SENSEX;ASX;Swiss Market;FTSE 100;Euro Stoxx 50;IPC;;;;;
MMM;SEHK: 9988;RI.PA;ADS;BJAUT IB;APN AT;LHN.SW;ABDN.L;DPW.DE;IENOVA.MX;;;;;
AOS;SEHK: 3690;ORA.PA;ALV;BHEL IB;ALL AT;ZURN.SW;RMV.L;PHIA.AS;GCC.MX;;;;;
ABT;SEHK: 700;CA.PA;BAS;BHARTI IB;AUN AT;SCMN.SW;RS1.L;INGA.AS;GMEXICOB.MX;;;;;
ABBV;SEHK: 939;ML.PA;BAYN;CIPLA IB;BBG AT;SREN.SW;BA.L;AI.PA;MEGACPO.MX;;;;;
ACN;SEHK: 9618;VIE.PA;BEI;COAL IB;CWN AT;NOVN.SW;RTO.L;SAF.PA;PINFRA.MX;;;;;
ATVI;SEHK: 941;ACA.PA;BMW;DLFU IB;DJS AT;GIVN.SW;FRAS.L;ABI.BR;ALPEKA.MX;;;;;
ADM;SEHK: 1398;MC.PA;CBK;HDFCB IB;FXJ AT;BAER.SW;EXPN.L;ALV.DE;ALSEA.MX;;;;;
ADBE;SEHK: 2318;SGO.PA;CON;HMCL IB;FWD AT;ABBN.SW;SPX.L;FRE.DE;KIMBERA.MX;;;;;
ADP;SEHK: 3988;CAP.PA;DAI;HNDL IB;FLT AT;GEBN.SW;AHT.L;ENI.MI;BOLSAA.MX;;;;;
AAP;SEHK: 1211;WLN.PA;DBK;HUVR IB;GUD AT;ROG.SW;ENT.L;MC.PA;CUERVO.MX;;;;;
AES;SEHK: 1810;KER.PA;DB1 ;HDFC IB;HVN AT;SIKA.SW;HLN.L;ORA.PA;GENTERA.MX;;;;;
AFL;SEHK: 883;ATO.PA;LHA;ICICIBC IB;IVC AT;ADEN.SW;ANTO.L;BNP.PA;GAPB.MX;;;;;
A;SEHK: 2331;UG.PA;DPW ;INFO IB;JBH AT;NESN.SW;BATS.L;OR.PA;GFNORTEO.MX;;;;;
APD;SEHK: 3968;ENGI.PA;DTE;ITC IB;MYR AT;SGSN.SW;SSE.L;BMW.DE;LABB.MX;;;;;
AKAM;SEHK: 1024;AIR.PA;EOAN;JPA IB;NVT AT;UHR.SW;CCH.L;DBK.DE;FEMSAUBD.MX;;;;;
ALK;SEHK: 2319;BN.PA;FRE;JSP IB;NWS AT;CFR.SW;SHEL.L;BBVA.MC;GRUMAB.MX;;;;;
ALB;SEHK: 1109;FP.PA;FME;LT IB;PBG AT;LONN.SW;VOD.L;BAYN.DE;CEMEXCPO.MX;;;;;
ARE;SEHK: 2020;DG.PA;HEI ;MM IB;TRS AT;SLHN.SW;MNG.L;CA.PA;ASURB.MX;;;;;
ALGN;SEHK: 175;EN.PA;HEN3;MSIL IB;SWM AT;UBSG.SW;RR.L;SU.PA;OMAB.MX;;;;;
ALLE;SEHK: 9633;HO.PA;IFX;NTPC IB;SXL AT;CSGN.SW;PSN.L;AIR.PA;BBAJIOO.MX;;;;;
LNT;SEHK: 2688;BNP.PA;LIN ;ONGC IB;TAH AT;;STJ.L;BN.PA;AC.MX;;;;;
ALL;SEHK: 386;SW.PA;MRK;RIL IB;TTS AT;;SDR.L;G.MI;BIMBOA.MX;;;;;
GOOGL;SEHK: 291;OR.PA;MUV2;SBIN IB;TEN AT;;AUTO.L;DTE.DE;TLEVISACPO.MX;;;;;
GOOG;SEHK: 9999;GLE.PA;PSM;STLT IB;WTF AT;;CPG.L;ENEL.MI;GCARSOA1.MX;;;;;
MO;SEHK: 2628;LR.PA;RWE;SUNP IB;CCL AT;;SMT.L;SAN.PA;LIVEPOLC1.MX;;;;;
AMZN;SEHK: 688;AI.PA;SAP;TCS IB;FGL AT;;AAF.L;ITX.MC;MEXCHEM.MX;;;;;
AMCR;SEHK: 1288;VIV.PA;SIE;TTMT IB;GFF AT;;SMIN.L;ENGI.PA;KOFL.MX;;;;;
AMD;SEHK: 2382;SU.PA;TKA;TPWR IB;GNC AT;;CNA.L;IBE.MC;AMXL.MX;;;;;
AEE;SEHK: 1093;SAN.PA;VOW3;TATA IB;MTS AT;;PRU.L;ASML.AS;PEOLES.MX;;;;;
AAL;SEHK: 981;AC.PA;VNA;WPRO IB;WES AT;;TSCO.L;EI.PA;SITESB1.MX;;;;;
AEP;SEHK: 2313;;;;WOW AT;;;;;;;;;
AXP;SEHK: 9888;;;;AQA AT;;;;;;;;;
AIG;SEHK: 6618;;;;AUT AT;;;;;;;;;
AMT;SEHK: 267;;;;AWE AT;;;;;;;;;
AWK;SEHK: 968;;;;BPT AT;;;;;;;;;
AMP;SEHK: 1658;;;;BOW AT;;;;;;;;;
ABC;SEHK: 992;;;;CTX AT;;;;;;;;;
AME;SEHK: 1177;;;;CVN AT;;;;;;;;;
AMGN;SEHK: 960;;;;CPL AT;;;;;;;;;
APH;SEHK: 1801;;;;DTE AT;;;;;;;;;
ADI;SEHK: 2601;;;;ESG AT;;;;;;;;;
ANSS;SEHK: 3328;;;;ERA AT;;;;;;;;;
AON;SEHK: 384;;;;EXT AT;;;;;;;;;
APA;SEHK: 6186;;;;GCL AT;;;;;;;;;
AAPL;SEHK: 2618;;;;KAR AT;;;;;;;;;
AMAT;SEHK: 6098;;;;LNC AT;;;;;;;;;
APTV;SEHK: 6862;;;;OSH AT;;;;;;;;;
ACGL;SEHK: 241;;;;ORG AT;;;;;;;;;
ANET;SEHK: 9626;;;;PDN AT;;;;;;;;;
AJG;SEHK: 2007;;;;ROC AT;;;;;;;;;
AIZ;;;;;STO AT;;;;;;;;;
T;;;;;WHC AT;;;;;;;;;
ATO;;;;;WPL AT;;;;;;;;;
ADSK;;;;;WOR AT;;;;;;;;;
AZO;;;;;ABP AT;;;;;;;;;
AVB;;;;;AMP AT;;;;;;;;;
AVY;;;;;AAD AT;;;;;;;;;
AXON;;;;;ASX AT;;;;;;;;;
BKR;;;;;ALZ AT;;;;;;;;;
BALL;;;;;ANZ AT;;;;;;;;;
BAC;;;;;BOQ AT;;;;;;;;;
BBWI;;;;;BEN AT;;;;;;;;;
BAX;;;;;BWP AT;;;;;;;;;
BDX;;;;;CFX AT;;;;;;;;;
WRB;;;;;CGF AT;;;;;;;;;
BRK.B;;;;;CHC AT;;;;;;;;;
BBY;;;;;CQO AT;;;;;;;;;
BIO;;;;;CQR AT;;;;;;;;;
TECH;;;;;CBA AT;;;;;;;;;
BIIB;;;;;CPA AT;;;;;;;;;
BLK;;;;;DXS AT;;;;;;;;;
BK;;;;;FKP AT;;;;;;;;;
BA;;;;;GMG AT;;;;;;;;;
BKNG;;;;;GPT AT;;;;;;;;;
BWA;;;;;HGG AT;;;;;;;;;
BXP;;;;;IAG AT;;;;;;;;;
BSX;;;;;IOF AT;;;;;;;;;
BMY;;;;;IFL AT;;;;;;;;;
AVGO;;;;;LLC AT;;;;;;;;;
BR;;;;;MQG AT;;;;;;;;;
BRO;;;;;MGR AT;;;;;;;;;
BF.B;;;;;NAB AT;;;;;;;;;
BG;;;;;PPT AT;;;;;;;;;
CHRW;;;;;PTM AT;;;;;;;;;
CDNS;;;;;QBE AT;;;;;;;;;
CZR;;;;;SGP AT;;;;;;;;;
CPT;;;;;SUN AT;;;;;;;;;
CPB;;;;;WDC AT;;;;;;;;;
COF;;;;;WRT AT;;;;;;;;;
CAH;;;;;WBC AT;;;;;;;;;
KMX;;;;;ANN AT;;;;;;;;;
CCL;;;;;COH AT;;;;;;;;;
CARR;;;;;CSL AT;;;;;;;;;
CTLT;;;;;MSB AT;;;;;;;;;
CAT;;;;;PRY AT;;;;;;;;;
CBOE;;;;;RHC AT;;;;;;;;;
CBRE;;;;;RMD AT;;;;;;;;;
CDW;;;;;SIP AT;;;;;;;;;
CE;;;;;SHL AT;;;;;;;;;
CNC;;;;;AIO AT;;;;;;;;;
CNP;;;;;AIX AT;;;;;;;;;
CDAY;;;;;BLY AT;;;;;;;;;
CF;;;;;BKN AT;;;;;;;;;
CRL;;;;;BXB AT;;;;;;;;;
SCHW;;;;;CAB AT;;;;;;;;;
CHTR;;;;;CEU AT;;;;;;;;;
CVX;;;;;CSR AT;;;;;;;;;
CMG;;;;;DOW AT;;;;;;;;;
CB;;;;;EHL AT;;;;;;;;;
CHD;;;;;GWA AT;;;;;;;;;
CI;;;;;HST AT;;;;;;;;;
CINF;;;;;HIL AT;;;;;;;;;
CTAS;;;;;LEI AT;;;;;;;;;
CSCO;;;;;MAH AT;;;;;;;;;
C;;;;;MQA AT;;;;;;;;;
CFG;;;;;MAP AT;;;;;;;;;
CLX;;;;;MRM AT;;;;;;;;;
CME;;;;;MIN AT;;;;;;;;;
CMS;;;;;MND AT;;;;;;;;;
KO;;;;;QAN AT;;;;;;;;;
CTSH;;;;;QRN AT;;;;;;;;;
CL;;;;;SEK AT;;;;;;;;;
CMCSA;;;;;SVW AT;;;;;;;;;
CMA;;;;;SPT AT;;;;;;;;;
CAG;;;;;TOL AT;;;;;;;;;
COP;;;;;TSE AT;;;;;;;;;
ED;;;;;TPI AT;;;;;;;;;
STZ;;;;;TCL AT;;;;;;;;;
CEG;;;;;UGL AT;;;;;;;;;
COO;;;;;VBA AT;;;;;;;;;
CPRT;;;;;CRZ AT;;;;;;;;;
GLW;;;;;CPU AT;;;;;;;;;
CTVA;;;;;IRE AT;;;;;;;;;
CSGP;;;;;SMX AT;;;;;;;;;
COST;;;;;ABC AT;;;;;;;;;
CTRA;;;;;AQG AT;;;;;;;;;
CCI;;;;;AWC AT;;;;;;;;;
CSX;;;;;AMC AT;;;;;;;;;
CMI;;;;;AQP AT;;;;;;;;;
CVS;;;;;AGO AT;;;;;;;;;
DHI;;;;;ASL AT;;;;;;;;;
DHR;;;;;BHP AT;;;;;;;;;
DRI;;;;;BSL AT;;;;;;;;;
DVA;;;;;BLD AT;;;;;;;;;
DE;;;;;CDU AT;;;;;;;;;
DAL;;;;;DML AT;;;;;;;;;
XRAY;;;;;DLX AT;;;;;;;;;
DVN;;;;;EAU AT;;;;;;;;;
DXCM;;;;;EQN AT;;;;;;;;;
FANG;;;;;FBU AT;;;;;;;;;
DLR;;;;;FMG AT;;;;;;;;;
DFS;;;;;GBG AT;;;;;;;;;
DIS;;;;;GRY AT;;;;;;;;;
DG;;;;;GNS AT;;;;;;;;;
DLTR;;;;;ILU AT;;;;;;;;;
D;;;;;IPL AT;;;;;;;;;
DPZ;;;;;IGO AT;;;;;;;;;
DOV;;;;;IAU AT;;;;;;;;;
DOW;;;;;JHX AT;;;;;;;;;
DTE;;;;;KZL AT;;;;;;;;;
DUK;;;;;KCN AT;;;;;;;;;
DD;;;;;LYC AT;;;;;;;;;
DXC;;;;;MCC AT;;;;;;;;;
EMN;;;;;MML AT;;;;;;;;;
ETN;;;;;MCR AT;;;;;;;;;
EBAY;;;;;MBN AT;;;;;;;;;
ECL;;;;;MGX AT;;;;;;;;;
EIX;;;;;MMX AT;;;;;;;;;
EW;;;;;NCM AT;;;;;;;;;
EA;;;;;NUF AT;;;;;;;;;
ELV;;;;;OGC AT;;;;;;;;;
LLY;;;;;OMH AT;;;;;;;;;
EMR;;;;;OST AT;;;;;;;;;
ENPH;;;;;ORI AT;;;;;;;;;
ETR;;;;;OZL AT;;;;;;;;;
EOG;;;;;PNA AT;;;;;;;;;
EPAM;;;;;PAN AT;;;;;;;;;
EQT;;;;;PRU AT;;;;;;;;;
EFX;;;;;RRL AT;;;;;;;;;
EQIX;;;;;RSG AT;;;;;;;;;
EQR;;;;;RIO AT;;;;;;;;;
ESS;;;;;SFR AT;;;;;;;;;
EL;;;;;SGM AT;;;;;;;;;
ETSY;;;;;SBM AT;;;;;;;;;
EG;;;;;SDL AT;;;;;;;;;
EVRG;;;;;WSA AT;;;;;;;;;
ES;;;;;WEC AT;;;;;;;;;
EXC;;;;;SGT AT;;;;;;;;;
EXPE;;;;;TEL AT;;;;;;;;;
EXPD;;;;;TLS AT;;;;;;;;;
EXR;;;;;TPM AT;;;;;;;;;
XOM;;;;;AGK AT;;;;;;;;;
FFIV;;;;;APA AT;;;;;;;;;
FDS;;;;;DUE AT;;;;;;;;;
FICO;;;;;EWC AT;;;;;;;;;
FAST;;;;;ENV AT;;;;;;;;;
FRT;;;;;HDF AT;;;;;;;;;
FDX;;;;;IFN AT;;;;;;;;;
FITB;;;;;SPN AT;;;;;;;;;
FSLR;;;;;SKI AT;;;;;;;;;
FE;;;;;;;;;;;;;;
FIS;;;;;;;;;;;;;;
FI;;;;;;;;;;;;;;
FLT;;;;;;;;;;;;;;
FMC;;;;;;;;;;;;;;
F;;;;;;;;;;;;;;
FTNT;;;;;;;;;;;;;;
FTV;;;;;;;;;;;;;;
FOXA;;;;;;;;;;;;;;
FOX;;;;;;;;;;;;;;
BEN;;;;;;;;;;;;;;
FCX;;;;;;;;;;;;;;
GRMN;;;;;;;;;;;;;;
IT;;;;;;;;;;;;;;
GEHC;;;;;;;;;;;;;;
GEN;;;;;;;;;;;;;;
GNRC;;;;;;;;;;;;;;
GD;;;;;;;;;;;;;;
GE;;;;;;;;;;;;;;
GIS;;;;;;;;;;;;;;
GM;;;;;;;;;;;;;;
GPC;;;;;;;;;;;;;;
GILD;;;;;;;;;;;;;;
GL;;;;;;;;;;;;;;
GPN;;;;;;;;;;;;;;
GS;;;;;;;;;;;;;;
HAL;;;;;;;;;;;;;;
HIG;;;;;;;;;;;;;;
HAS;;;;;;;;;;;;;;
HCA;;;;;;;;;;;;;;
PEAK;;;;;;;;;;;;;;
HSIC;;;;;;;;;;;;;;
HSY;;;;;;;;;;;;;;
HES;;;;;;;;;;;;;;
HPE;;;;;;;;;;;;;;
HLT;;;;;;;;;;;;;;
HOLX;;;;;;;;;;;;;;
HD;;;;;;;;;;;;;;
HON;;;;;;;;;;;;;;
HRL;;;;;;;;;;;;;;
HST;;;;;;;;;;;;;;
HWM;;;;;;;;;;;;;;
HPQ;;;;;;;;;;;;;;
HUM;;;;;;;;;;;;;;
HBAN;;;;;;;;;;;;;;
HII;;;;;;;;;;;;;;
IBM;;;;;;;;;;;;;;
IEX;;;;;;;;;;;;;;
IDXX;;;;;;;;;;;;;;
ITW;;;;;;;;;;;;;;
ILMN;;;;;;;;;;;;;;
INCY;;;;;;;;;;;;;;
IR;;;;;;;;;;;;;;
PODD;;;;;;;;;;;;;;
INTC;;;;;;;;;;;;;;
ICE;;;;;;;;;;;;;;
IFF;;;;;;;;;;;;;;
IP;;;;;;;;;;;;;;
IPG;;;;;;;;;;;;;;
INTU;;;;;;;;;;;;;;
ISRG;;;;;;;;;;;;;;
IVZ;;;;;;;;;;;;;;
INVH;;;;;;;;;;;;;;
IQV;;;;;;;;;;;;;;
IRM;;;;;;;;;;;;;;
JBHT;;;;;;;;;;;;;;
JKHY;;;;;;;;;;;;;;
J;;;;;;;;;;;;;;
JNJ;;;;;;;;;;;;;;
JCI;;;;;;;;;;;;;;
JPM;;;;;;;;;;;;;;
JNPR;;;;;;;;;;;;;;
K;;;;;;;;;;;;;;
KDP;;;;;;;;;;;;;;
KEY;;;;;;;;;;;;;;
KEYS;;;;;;;;;;;;;;
KMB;;;;;;;;;;;;;;
KIM;;;;;;;;;;;;;;
KMI;;;;;;;;;;;;;;
KLAC;;;;;;;;;;;;;;
KHC;;;;;;;;;;;;;;
KR;;;;;;;;;;;;;;
LHX;;;;;;;;;;;;;;
LH;;;;;;;;;;;;;;
LRCX;;;;;;;;;;;;;;
LW;;;;;;;;;;;;;;
LVS;;;;;;;;;;;;;;
LDOS;;;;;;;;;;;;;;
LEN;;;;;;;;;;;;;;
LNC;;;;;;;;;;;;;;
LIN;;;;;;;;;;;;;;
LYV;;;;;;;;;;;;;;
LKQ;;;;;;;;;;;;;;
LMT;;;;;;;;;;;;;;
L;;;;;;;;;;;;;;
LOW;;;;;;;;;;;;;;
LYB;;;;;;;;;;;;;;
MTB;;;;;;;;;;;;;;
MRO;;;;;;;;;;;;;;
MPC;;;;;;;;;;;;;;
MKTX;;;;;;;;;;;;;;
MAR;;;;;;;;;;;;;;
MMC;;;;;;;;;;;;;;
MLM;;;;;;;;;;;;;;
MAS;;;;;;;;;;;;;;
MA;;;;;;;;;;;;;;
MTCH;;;;;;;;;;;;;;
MKC;;;;;;;;;;;;;;
MCD;;;;;;;;;;;;;;
MCK;;;;;;;;;;;;;;
MDT;;;;;;;;;;;;;;
MRK;;;;;;;;;;;;;;
