,S&P_500,S&P_500_Company_Beta
0,MMM,-0.6096629643540988
1,AOS,-0.6318925922993185
2,ABT,-0.4876957896684425
3,ABBV,-0.3234023044209602
4,ACN,-0.44157674261906477
5,ATVI,-0.16404734664388423
6,ADM,-0.10239854014849299
7,ADBE,-0.5599051873950303
8,ADP,-0.5297264239441944
9,AAP,-0.8220767414866285
10,AES,-0.17970059730347587
11,AFL,-0.3298904756931682
12,A,-0.4745422245340742
13,APD,-0.7570504953468083
14,AKAM,-0.5855605039394297
15,ALK,-0.018742445079193197
16,ALB,-0.49196070614827436
17,ARE,-0.28432908950300756
18,ALGN,-0.769212594554895
19,ALLE,-0.6042558769561075
20,LNT,-0.37671111273441765
21,ALL,-0.3777256633212431
22,GOOGL,-0.6708746618192223
23,GOOG,-0.7045976993804385
24,MO,-0.43924906204999786
25,AMZN,-0.929588017741035
26,AMCR,-0.5377089018852941
27,AMD,-1.3780429405332173
28,AEE,-0.3658171076877548
29,AAL,-0.6197389880700652
30,AEP,-0.411101366993779
31,AXP,-0.49798394674522223
32,AIG,-0.4034731385967217
33,AMT,-0.4311418896682238
34,AWK,-0.3187501970158409
35,AMP,-0.24395759698188868
36,ABC,0.15722422391414453
37,AME,-0.5499112536872801
38,AMGN,-0.5161829778505646
39,APH,-0.36595232284762214
40,ADI,-0.7183535366764954
41,ANSS,-1.0583738781514944
42,AON,-0.30243075307927847
43,APA,-0.3339425596335846
44,AAPL,-0.19086970851015014
45,AMAT,-1.1238957370330966
46,APTV,-0.5948681645089404
47,ACGL,-0.3795914171987814
48,ANET,-0.7609474206659931
49,AJG,-0.24370739947354522
50,AIZ,-0.3103145387318409
51,T,-0.06551460605976372
52,ATO,-0.19787435993025324
53,ADSK,-0.47840472194251193
54,AZO,-0.35234236970378036
55,AVB,-0.3557092491210619
56,AVY,-0.5689362082856144
57,AXON,-0.03363629119670244
58,BKR,-0.42364657029573005
59,BALL,-0.42555667856998514
60,BAC,-0.5972760990310061
61,BBWI,-0.034350204037214706
62,BAX,-0.4586028192689444
63,BDX,-0.43189879550247
64,WRB,-0.3264720049294282
65,BBY,-0.5825219007846857
66,BIO,-0.9341728909482967
67,TECH,-0.7493355964829655
68,BIIB,-1.4534464490652894
69,BLK,-0.7116015770577026
70,BK,-0.362457395769984
71,BA,-0.9015330600141058
72,BKNG,-0.5004960727730312
73,BWA,-0.25825789096631757
74,BXP,-0.6889359716723317
75,BSX,-0.5312845275771153
76,BMY,-0.06007551563279007
77,AVGO,-0.854068948095317
78,BR,-0.3714660519707086
79,BRO,-0.46595961154499255
80,BG,-0.538329602258375
81,CHRW,-0.601558637836388
82,CDNS,-0.9054732598859212
83,CZR,-0.2821888075312467
84,CPT,-0.43680549750021247
85,CPB,-0.3901389500171972
86,COF,-1.045058446386647
87,CAH,-0.10671538974948308
88,KMX,-0.1253162410964327
89,CCL,-0.05187178578881988
90,CARR,-0.5695996615389178
91,CTLT,-0.2490293192582827
92,CAT,-0.23642722615405234
93,CBOE,0.01726448633198091
94,CBRE,-0.6471991209933409
95,CDW,-0.44834043924699135
96,CE,-0.929143025271759
97,CNC,-0.10196698866195869
98,CNP,-0.23752737528187526
99,CDAY,-0.02204932299272253
100,CF,0.42770245839964854
101,CRL,-0.30715694693677936
102,SCHW,-0.06858912226833115
103,CHTR,-0.9660181664974259
104,CVX,-0.3873625209055503
105,CMG,-0.42378668909959727
106,CB,-0.28694715917640917
107,CHD,-0.337833794041671
108,CI,-0.22406819697124408
109,CINF,-0.5870193934853241
110,CTAS,-0.5419459626650399
111,CSCO,-0.4737349347801788
112,C,-0.5834991516841086
113,CFG,-0.7314837084298684
114,CLX,-0.12842165266935682
115,CME,-0.4321087222655187
116,CMS,-0.38690051955874755
117,KO,-0.29775948441905764
118,CTSH,-0.19940700107296114
119,CL,-0.3792662226385342
120,CMCSA,-0.7939005021173685
121,CMA,-0.7909432085765868
122,CAG,-0.24052069866556877
123,COP,-0.4246104233687677
124,ED,-0.2530846580335844
125,STZ,-0.3219469573290108
126,CEG,-0.3492212753763385
127,COO,-0.540917081074925
128,CPRT,-0.34622500158107933
129,GLW,-0.5340971838324551
130,CTVA,0.005828126106232067
131,CSGP,-0.23497815967241417
132,COST,-0.22456596108863575
133,CTRA,-0.48251967718289623
134,CCI,-0.7001606823172875
135,CSX,-0.7037146806622724
136,CMI,-0.16621120873296133
137,CVS,-0.31275245785494954
138,DHI,-0.37779600100694954
139,DHR,-0.5800307896257046
140,DRI,-0.3512162526141267
141,DVA,-0.6561145672788563
142,DE,-0.047274190404823786
143,DAL,-0.3455778851333516
144,XRAY,-0.6107358272973327
145,DVN,-0.3656249766224168
146,DXCM,-0.14895704419590053
147,FANG,-0.33028802394537243
148,DLR,-0.8726594045216772
149,DFS,-0.6112501663889286
150,DIS,-0.45862696145765613
151,DG,-0.24014987855230585
152,DLTR,0.08186533993683068
153,D,-0.26986818197417617
154,DPZ,0.0070555385441359855
155,DOV,-0.3636265542886316
156,DOW,-0.5650339107863859
157,DTE,-0.3302277540364286
158,DUK,-0.25392860230185577
159,DD,-0.7576074771559452
160,DXC,-0.642606198692947
161,EMN,-1.1693652165346118
162,ETN,-0.6320716934247639
163,EBAY,-0.38488853390822264
164,ECL,-0.8119275937932838
165,EIX,-0.13011043811756282
166,EW,-0.839312025238053
167,EA,-0.4529623817609812
168,ELV,-0.25751194419626006
169,LLY,-0.42027963293268483
170,EMR,-0.6188891635671699
171,ENPH,0.541874529164726
172,ETR,-0.12615496345616875
173,EOG,-0.34015985760488837
174,EPAM,-0.6175156993957697
175,EQT,-1.102489997748466
176,EFX,-0.5793709529823156
177,EQIX,-0.6006987991704217
178,EQR,-0.4777609021383786
179,ESS,-0.6133844888353023
180,EL,-0.6451454930342527
181,ETSY,0.10887152908783573
182,EG,-0.07697454858404594
183,EVRG,-0.450888461201658
184,ES,-0.2267221802395811
185,EXC,-0.23952869879593508
186,EXPE,-0.6685751722098612
187,EXPD,-0.43029385490392325
188,EXR,-0.5672922744667105
189,XOM,-0.24902564653123666
190,FFIV,-0.7030501091268098
191,FDS,-0.022173528358620097
192,FICO,-0.2606084203518115
193,FAST,-0.5821063172203937
194,FRT,-0.28863556634652826
195,FDX,-0.5455891179305391
196,FITB,-0.5596879145229992
197,FSLR,0.08254554386186845
198,FE,-0.29579450692144743
199,FIS,0.018131518590869297
200,FI,-0.16708321273140722
201,FLT,-0.5245870196822273
202,FMC,-0.3029842783595555
203,F,-0.3722094962793416
204,FTNT,-0.33672376259630227
205,FTV,-0.6764902721264595
206,FOXA,-0.09738929405776282
207,FOX,-0.09808241733307492
208,BEN,-0.6153107312362261
209,FCX,-0.6595176962558267
210,GRMN,-0.6801655177780879
211,IT,-0.20829163409282997
212,GEHC,-0.3951581008252708
213,GEN,-0.23039280891894204
214,GNRC,-1.5307915037383961
215,GD,-0.20439719080145632
216,GE,-0.6390995768114547
217,GIS,-0.15195665131652966
218,GM,-0.023631504904133432
219,GPC,-0.3544807038308651
220,GILD,0.007507536417583419
221,GL,-0.3054156549675913
222,GPN,-0.6459094934622864
223,GS,-0.2429932740993242
224,HAL,-0.33999546147931187
225,HIG,-0.40225812297405106
226,HAS,-0.7818102287932437
227,HCA,-0.3180053427443903
228,PEAK,-0.4746293009649839
229,HSIC,-0.13443653464125638
230,HSY,-0.1542735513352146
231,HES,-0.30740629351781207
232,HPE,-0.4968454109774053
233,HLT,-0.3014741006719181
234,HOLX,-0.4410539014814326
235,HD,-0.399863532120423
236,HON,-0.42465036816919005
237,HRL,-0.06633190430169458
238,HST,-0.4117187621141772
239,HWM,-0.5530502853444564
240,HPQ,-1.032104854473745
241,HUM,-0.3054790330738871
242,HBAN,-0.3572516525962694
243,HII,0.06288023891742885
244,IBM,-0.2894756154143273
245,IEX,-0.4538243002589525
246,IDXX,-0.6644842103081235
247,ITW,-0.5118876000207062
248,ILMN,-0.859361325808311
249,INCY,-0.04855494151366083
250,IR,-0.7411769688381113
251,PODD,-0.4635832358861092
252,INTC,-0.9864634462794116
253,ICE,-0.3764447529523254
254,IFF,-0.1680258649800695
255,IP,-0.29405015137474083
256,IPG,-0.5364199409688736
257,INTU,-0.9751457777891852
258,ISRG,-0.29246169634152436
259,IVZ,-0.7118800633107274
260,INVH,-0.4127838212486433
261,IQV,-0.323265228594416
262,IRM,-0.3172548403937532
263,JBHT,-0.443841656109396
264,JKHY,0.11516329990067872
265,J,-0.6920198646517132
266,JNJ,-0.09990576329223884
267,JCI,-0.7692232027756656
268,JPM,-0.6990984239389239
269,JNPR,-0.2658071997455447
270,K,-0.13903293963591326
271,KDP,-0.3314840800216202
272,KEY,-0.6246171325882653
273,KEYS,-0.09169329780107105
274,KMB,-0.3495038894004582
275,KIM,-0.3114971855444032
276,KMI,-0.44902767535772514
277,KLAC,-0.7358487719381048
278,KHC,-0.3579099468941825
279,KR,-0.14136534161310224
280,LHX,0.09115740455975989
281,LH,-0.36739101000272945
282,LRCX,-0.8833480535618838
283,LW,-0.18443650026717365
284,LVS,0.23421635471525015
285,LDOS,-0.12053282524443835
286,LEN,-0.3172357518492125
287,LNC,0.13028944291146238
288,LIN,-0.6389994588452688
289,LYV,-0.5111976869070131
290,LKQ,-0.544363475702603
291,LMT,0.1457071662990518
292,L,-0.48173904390408356
293,LOW,-0.23133675500712794
294,LYB,-0.8282672541135874
295,MTB,-0.7995360946468413
296,MRO,-0.3654671139155715
297,MPC,-0.8405588954546681
298,MKTX,-1.0823606656583717
299,MAR,-0.2846262375855535
300,MMC,-0.43666277935365627
301,MLM,-0.4960955525736853
302,MAS,-0.8916099069629356
303,MA,-0.42392571498309234
304,MTCH,-0.5976028338055017
305,MKC,-0.18998738224365277
306,MCD,-0.296324905452274
307,MCK,-0.16670957176577678
308,MDT,-0.30193765098445374
309,MRK,-0.19666062721284092
310,META,-1.4195410826844828
311,MET,-0.12341410268931874
312,MTD,-0.573611319214208
313,MGM,-0.11025954649404775
314,MCHP,-0.568951088162307
315,MU,-1.1719836636021588
316,MSFT,-1.0686256122527082
317,MAA,-0.542458749099747
318,MRNA,-0.7125863570598783
319,MHK,-0.9884320807998248
320,MOH,-0.27018723142470463
321,TAP,-0.2313529527360874
322,MDLZ,-0.3859182932740592
323,MPWR,-1.0131466702839147
324,MNST,-0.49649139557869953
325,MCO,-0.5210520877971585
326,MS,-0.20483160425900784
327,MOS,0.00020374340042700708
328,MSI,-0.362049716888149
329,MSCI,-0.5499499848142954
330,NDAQ,-0.3766589838650994
331,NTAP,-0.33676276257697924
332,NFLX,-0.4733361431204627
333,NWL,-1.0855895870999466
334,NEM,-0.9965348091291033
335,NWSA,-0.44854242522739607
336,NWS,-0.4115117611199923
337,NEE,-0.2064841215104265
338,NKE,-0.6865758813321867
339,NI,-0.408252169223389
340,NDSN,-0.4673952977439093
341,NSC,-0.5342440950778212
342,NTRS,-0.6601908341725621
343,NOC,0.0018478294373541224
344,NCLH,0.23335847028097878
345,NRG,-0.4573073639844344
346,NUE,-0.3910083284876302
347,NVDA,-1.277685824346031
348,NVR,-0.3447165160232159
349,NXPI,-0.5763010966689963
350,ORLY,-0.35568151590421127
351,OXY,-0.5000426663509748
352,ODFL,-0.6603876147808201
353,OMC,-0.68390298074958
354,ON,-0.8275952232237319
355,OKE,-0.4785432366145364
356,ORCL,-0.37956674101995624
357,OGN,-0.002495533019140098
358,OTIS,-0.36673295948054346
359,PCAR,-0.4682325982985817
360,PKG,-0.10853319459680663
361,PANW,-0.27395609127888965
362,PARA,-0.5895520444829397
363,PH,-0.5114401248596385
364,PAYX,-0.4997052805014515
365,PAYC,-0.1577842834325607
366,PYPL,-0.5021311110123449
367,PNR,-0.7765744369717443
368,PEP,-0.49270808980189595
369,PFE,-0.25891316857017505
370,PCG,-0.2307357557188226
371,PM,-0.17292978586818566
372,PSX,-0.5528275321573158
373,PNW,-0.2587013026552177
374,PXD,-0.08678451482721795
375,PNC,-0.8244424426397756
376,POOL,-0.7258523708565456
377,PPG,-0.7546122730564028
378,PPL,-0.2558339181596414
379,PFG,-0.38219577967051516
380,PG,-0.3102233147196504
381,PGR,-0.0895898057646751
382,PLD,-0.7028989493463237
383,PRU,-0.3352353910750717
384,PEG,-0.5078150043698618
385,PTC,-0.48332529874056424
386,PSA,-0.4867432983014482
387,PHM,-0.4493238082944844
388,QRVO,-0.6752110305163311
389,PWR,-0.7283738995587368
390,QCOM,-0.4451552018075868
391,DGX,-0.30035715269529584
392,RL,-0.6331403135025737
393,RJF,0.13870403489705693
394,RTX,-0.2611327461972287
395,O,-0.27404731283790557
396,REG,-0.32632537098011655
397,REGN,-0.39158485644961954
398,RF,-0.6760926447470271
399,RSG,-0.495005996527094
400,RMD,-0.12138454784246812
401,RVTY,-0.5744090553410816
402,RHI,-0.8572719297852196
403,ROK,-0.8410654969545591
404,ROL,0.09956902686711247
405,ROP,-0.5265308491241365
406,ROST,-0.19414132862380207
407,RCL,-0.042396626670824646
408,SPGI,-0.32400535221685395
409,CRM,-0.7411360812898206
410,SBAC,-0.6052543066383833
411,SLB,-0.2108062124215815
412,STX,-0.855089201003067
413,SEE,-0.4734451180605209
414,SRE,-0.17739466792454486
415,NOW,0.11999606599130262
416,SHW,-0.5881351442643158
417,SPG,-0.3841442889569438
418,SWKS,-0.7212723979514831
419,SJM,-0.22452294691307453
420,SNA,-0.48339953729711954
421,SEDG,-0.45075821496768326
422,SO,-0.4290962169192098
423,LUV,0.04985695384754814
424,SWK,-0.8097391018625834
425,SBUX,-0.6348537889884842
426,STT,-0.5950456359924232
427,STLD,-0.08452279715131777
428,STE,-0.6289641333707092
429,SYK,-0.6661831398818444
430,SYF,-0.8533418760282651
431,SNPS,-0.8452922467841955
432,SYY,-0.20054247714325465
433,TMUS,-0.05067317561287451
434,TROW,-0.6985067065791214
435,TTWO,-0.32726514148848695
436,TPR,-0.4957244243526288
437,TRGP,-0.760199165632177
438,TGT,-0.11564927360229244
439,TEL,-0.1876634336494564
440,TDY,-0.42291542422467954
441,TFX,-0.31610302921004263
442,TER,-0.7465338640372449
443,TSLA,0.5286312015370953
444,TXN,-0.6609548075976721
445,TXT,-0.37492120956042785
446,TMO,-0.4052221953690756
447,TJX,-0.1478762949644697
448,TSCO,-0.1409878732456759
449,TT,-0.5634204256346393
450,TDG,-0.561702696993268
451,TRV,-0.3492480243318407
452,TRMB,-0.6901086521225847
453,TFC,-0.562600097142246
454,TYL,-0.6042363852682073
455,TSN,-0.42715987579256787
456,USB,-0.630741529928503
457,UDR,-0.35213548348178153
458,ULTA,-0.18295028283798093
459,UNP,-0.7493401025061623
460,UAL,-0.03385766269477499
461,UPS,-0.6229336651611593
462,URI,-0.4706592651163449
463,UNH,-0.3775576043573345
464,UHS,-0.10617551928098451
465,VLO,-0.8873654830111838
466,VTR,-0.795220087383
467,VRSN,-0.1975698961574839
468,VRSK,-0.5772999494499192
469,VZ,-0.4587929050368897
470,VRTX,-0.14553551963375883
471,VFC,-0.5200686241013888
472,VTRS,-0.8091164574748942
473,VICI,-0.14055217983563123
474,V,-0.1563581076096291
475,VMC,-0.4952585046861258
476,WAB,-0.4500799542187356
477,WBA,-0.3161154798682605
478,WMT,-0.08321468668701999
479,WBD,-0.3358029581627866
480,WM,-0.492159744901207
481,WAT,-0.5191605580270328
482,WEC,-0.3881207685889533
483,WFC,-0.4628850141729776
484,WELL,-0.7306403157535157
485,WST,-1.23670360048552
486,WDC,-0.8848054906421996
487,WRK,-0.5412992454734586
488,WY,-0.7122719204483305
489,WHR,-0.8423385242768798
490,WMB,-0.3994659434527295
491,WTW,-0.18820483188872883
492,GWW,-0.4607240940606429
493,WYNN,0.4011214537795248
494,XEL,-0.31531938102728585
495,XYL,-0.07153889701983385
496,YUM,-0.1836491298143995
497,ZBRA,-1.0809202213262246
498,ZBH,-0.33741274340308414
499,ZION,-0.8402955756468221
500,ZTS,-0.439397206312071
